SUB_ID,cohort,model_name,output_type,F1
MWC_11,MWC,enh90,Cluster,0.6732673267326733
MWC_67,MWC,enh90,Cluster,0.6153846153846154
MWC_68,MWC,enh90,Cluster,0.6842105263157895
MWC_59,MWC,enh90,Cluster,0.7192982456140351
MWC_61,MWC,enh90,Cluster,0.6451612903225806
MWC_52,MWC,enh90,Cluster,0.7529411764705882
MRS_2,MRi-Share,enh90,Voxel,0.4659340659340659
MRS_4,MRi-Share,enh90,Voxel,0.64
MRS_10,MRi-Share,enh90,Voxel,0.2545454545454545
MRS_17,MRi-Share,enh90,Voxel,0.4190800681431005
MRS_18,MRi-Share,enh90,Voxel,0.6451612903225806
MRS_20,MRi-Share,enh90,Voxel,0
MRS_49,MRi-Share,enh90,Voxel,1
MRS_29,MRi-Share,enh90,Voxel,0.4074074074074074
MWC_110,MWC,enh90,Voxel,0.7039431157078216
MWC_102,MWC,enh90,Voxel,0.6419968074299811
MWC_103,MWC,enh90,Voxel,0.8426783048122201
MWC_104,MWC,enh90,Voxel,0.8058220310949388
MWC_107,MWC,enh90,Voxel,0.7411747033198137
MWC_108,MWC,enh90,Voxel,0.7266926621765332
MWC_29,MWC,enh90,Voxel,0.8421141577590942
MWC_126,MWC,enh90,Voxel,0.6256272439060236
MWC_58,MWC,enh90,Voxel,0.7247990105132962
MWC_69,MWC,enh90,Voxel,0.8308536330838725
MRS_2,MRi-Share,enh90,Cluster,0.631578947368421
MRS_4,MRi-Share,enh90,Cluster,1
MRS_10,MRi-Share,enh90,Cluster,0.5333333333333333
MRS_17,MRi-Share,enh90,Cluster,0.4444444444444444
MRS_18,MRi-Share,enh90,Cluster,0.5
MRS_20,MRi-Share,enh90,Cluster,0
MRS_49,MRi-Share,enh90,Cluster,1
MRS_29,MRi-Share,enh90,Cluster,0.6
MWC_110,MWC,enh90,Cluster,0.8314606741573034
MWC_102,MWC,enh90,Cluster,0.7735849056603774
MWC_103,MWC,enh90,Cluster,0.6792452830188679
MWC_104,MWC,enh90,Cluster,0.8117647058823529
MWC_107,MWC,enh90,Cluster,0.75
MWC_108,MWC,enh90,Cluster,0.8571428571428571
MWC_29,MWC,enh90,Cluster,0.7284768211920529
MWC_126,MWC,enh90,Cluster,0.7049180327868853
MWC_58,MWC,enh90,Cluster,0.7567567567567568
MWC_69,MWC,enh90,Cluster,0.673469387755102
MRS_9,MRi-Share,enh90,Voxel,0.1923076923076923
MRS_12,MRi-Share,enh90,Voxel,0.2758620689655172
MRS_13,MRi-Share,enh90,Voxel,0.5170068027210885
MRS_16,MRi-Share,enh90,Voxel,0.5517241379310345
MRS_27,MRi-Share,enh90,Voxel,0.1034482758620689
MRS_31,MRi-Share,enh90,Voxel,0
MRS_37,MRi-Share,enh90,Voxel,0.7491039426523297
MRS_38,MRi-Share,enh90,Voxel,0.6028708133971292
MWC_144,MWC,enh90,Voxel,0.5982861594391067
MWC_112,MWC,enh90,Voxel,0.7654701183716678
MWC_105,MWC,enh90,Voxel,0.7877311682453766
MWC_4,MWC,enh90,Voxel,0.8276763265846235
MWC_50,MWC,enh90,Voxel,0.8044024458032241
MWC_60,MWC,enh90,Voxel,0.8747745848848919
MWC_53,MWC,enh90,Voxel,0.6020245071923281
MWC_63,MWC,enh90,Voxel,0.8572807723250201
MWC_64,MWC,enh90,Voxel,0.7971206969825755
MWC_55,MWC,enh90,Voxel,0.5582089552238806
MRS_9,MRi-Share,enh90,Cluster,0.5714285714285714
MRS_12,MRi-Share,enh90,Cluster,0.6666666666666666
MRS_13,MRi-Share,enh90,Cluster,0.6060606060606061
MRS_16,MRi-Share,enh90,Cluster,0.8
MRS_27,MRi-Share,enh90,Cluster,0.1538461538461538
MRS_31,MRi-Share,enh90,Cluster,0
MRS_37,MRi-Share,enh90,Cluster,0.7058823529411765
MRS_38,MRi-Share,enh90,Cluster,0.1818181818181818
MWC_144,MWC,enh90,Cluster,0.7769784172661871
MWC_112,MWC,enh90,Cluster,0.8175182481751825
MWC_105,MWC,enh90,Cluster,0.8247422680412371
MWC_4,MWC,enh90,Cluster,0.4901960784313725
MWC_50,MWC,enh90,Cluster,0.7230769230769231
MWC_60,MWC,enh90,Cluster,0.6376811594202898
MWC_53,MWC,enh90,Cluster,0.7228915662650602
MWC_63,MWC,enh90,Cluster,0.6341463414634146
MWC_64,MWC,enh90,Cluster,0.7777777777777778
MWC_55,MWC,enh90,Cluster,0.6984126984126984
MRS_3,MRi-Share,enh90,Voxel,0.5970731707317073
MRS_26,MRi-Share,enh90,Voxel,0.5432098765432098
MRS_32,MRi-Share,enh90,Voxel,0.413196322336398
MRS_36,MRi-Share,enh90,Voxel,0.2696078431372549
MRS_44,MRi-Share,enh90,Voxel,0.5328467153284672
MRS_45,MRi-Share,enh90,Voxel,0
MWC_0,MWC,enh90,Voxel,0.766195767290743
MWC_113,MWC,enh90,Voxel,0.8452140853559589
